"","county","administered_date","Daily doses administered","Cumulative doses administered","pfizer_doses","cumulative_pfizer_doses","moderna_doses","cumulative_moderna_doses","jj_doses","cumulative_jj_doses","partially_vaccinated","total_partially_vaccinated","fully_vaccinated","cumulative_fully_vaccinated","at_least_one_dose","cumulative_at_least_one_dose","california_flag","booster_recip_count","cumulative_booster_recip_count","Total.Population","Total.Population.Over.16","% partially vaccinated","% with at least 1 shot","% fully vaccinated","% boostered"
"1","Alameda","2021-08-30",3363,2281474,2607,1455801,659,712681,96,112019,1148,86984,1601,1144276,1244,1231260,"California",595,7975,1678317,1351302,5.18,73.36,68.18,0.59
"2","Alameda","2021-08-29",1241,2278111,978,1453194,255,712022,8,111923,423,87341,611,1142675,431,1230016,"California",193,7380,1678317,1351302,5.2,73.29,68.08,0.55
"3","Alameda","2021-06-01",7376,1963659,5105,1209243,1950,654038,316,99579,3017,136033,4306,960701,3328,1096734,"California",0,0,1678317,1351302,8.11,65.35,57.24,0
"4","Alameda","2021-08-31",3532,2285006,2592,1458393,860,713541,80,112099,1121,86690,1496,1145772,1202,1232462,"California",884,8859,1678317,1351302,5.17,73.43,68.27,0.66
"5","Alameda","2021-06-03",8707,1978282,6553,1219490,1839,657872,312,100117,2801,132008,5857,970245,3111,1102253,"California",0,0,1678317,1351302,7.87,65.68,57.81,0
"6","Alameda","2021-05-31",1220,1956283,904,1204138,254,652088,60,99263,356,137011,847,956395,416,1093406,"California",0,0,1678317,1351302,8.16,65.15,56.99,0
"7","Alameda","2021-08-24",3764,2262672,3007,1440962,654,709187,103,111560,1413,88888,1691,1135259,1516,1224147,"California",627,5030,1678317,1351302,5.3,72.94,67.64,0.37
"8","Alameda","2021-08-25",3142,2265814,2418,1443380,640,709827,80,111640,1147,88694,1418,1136677,1224,1225371,"California",539,5569,1678317,1351302,5.28,73.01,67.73,0.41
"9","Alameda","2021-08-26",3850,2269664,3089,1446469,649,710476,111,111751,1412,88425,1789,1138466,1520,1226891,"California",619,6188,1678317,1351302,5.27,73.1,67.83,0.46
"10","Alameda","2021-08-27",4503,2274167,3600,1450069,783,711259,116,111867,1591,87827,2304,1140770,1706,1228597,"California",571,6759,1678317,1351302,5.23,73.2,67.97,0.5
"11","Alameda","2021-08-28",2703,2276870,2147,1452216,508,711767,48,111915,945,87521,1294,1142064,988,1229585,"California",428,7187,1678317,1351302,5.21,73.26,68.05,0.53
"12","Alameda","2021-10-08",6550,2414587,6046,1567812,426,731011,76,114736,815,76237,1115,1188050,891,1264287,"California",4586,66008,1678317,1351302,4.54,75.33,70.79,4.88
"13","Alameda","2021-10-09",3036,2417623,2794,1570606,192,731203,49,114785,422,76134,573,1188623,470,1264757,"California",2022,68030,1678317,1351302,4.54,75.36,70.82,5.03
"14","Alameda","2021-10-10",1408,2419031,1279,1571885,103,731306,26,114811,246,76122,284,1188907,272,1265029,"California",875,68905,1678317,1351302,4.54,75.37,70.84,5.1
"15","Alameda","2021-09-01",2888,2287894,2163,1460556,631,714172,92,112191,994,86512,1265,1147037,1087,1233549,"California",607,9466,1678317,1351302,5.15,73.5,68.34,0.7
"16","Alameda","2021-09-02",3344,2291238,2503,1463059,768,714940,73,112264,1094,86270,1407,1148444,1165,1234714,"California",814,10280,1678317,1351302,5.14,73.57,68.43,0.76
"17","Alameda","2021-06-02",5916,1969575,3694,1212937,1995,656033,226,99805,2191,134754,3687,964388,2408,1099142,"California",0,0,1678317,1351302,8.03,65.49,57.46,0
"18","Alameda","2021-07-26",2509,2178605,1890,1374767,481,694751,137,108159,1459,78046,982,1100378,1595,1178424,"California",0,0,1678317,1351302,4.65,70.21,65.56,0
"19","Alameda","2021-07-27",2912,2181517,2310,1377077,461,695212,140,108299,1611,78567,1227,1101605,1748,1180172,"California",0,0,1678317,1351302,4.68,70.32,65.64,0
"20","Alameda","2021-07-28",2364,2183881,1787,1378864,456,695668,120,108419,1319,79029,975,1102580,1437,1181609,"California",0,0,1678317,1351302,4.71,70.4,65.7,0
"21","Alameda","2021-07-29",2849,2186730,2278,1381142,425,696093,145,108564,1593,79564,1199,1103779,1734,1183343,"California",0,0,1678317,1351302,4.74,70.51,65.77,0
"22","Alameda","2021-07-30",3571,2190301,2854,1383996,541,696634,174,108738,1906,80070,1569,1105348,2075,1185418,"California",0,0,1678317,1351302,4.77,70.63,65.86,0
"23","Alameda","2021-07-31",2223,2192524,1812,1385808,329,696963,82,108820,1240,80476,913,1106261,1319,1186737,"California",0,0,1678317,1351302,4.8,70.71,65.91,0
"24","Alameda","2021-08-01",937,2193461,775,1386583,143,697106,19,108839,537,80678,354,1106615,556,1187293,"California",0,0,1678317,1351302,4.81,70.74,65.94,0
"25","Alameda","2021-08-02",2972,2196433,2413,1388996,417,697523,142,108981,1748,81401,1165,1107780,1888,1189181,"California",0,0,1678317,1351302,4.85,70.86,66.01,0
"26","Alameda","2021-08-03",3179,2199612,2539,1391535,462,697985,177,109158,1912,82290,1198,1108978,2087,1191268,"California",0,0,1678317,1351302,4.9,70.98,66.08,0
"27","Alameda","2021-08-04",2696,2202308,2154,1393689,419,698404,120,109278,1627,83078,960,1109938,1748,1193016,"California",0,0,1678317,1351302,4.95,71.08,66.13,0
"28","Alameda","2021-08-05",3246,2205554,2609,1396298,483,698887,151,109429,1893,83881,1236,1111174,2039,1195055,"California",0,0,1678317,1351302,5,71.21,66.21,0
"29","Alameda","2021-08-06",4055,2209609,3247,1399545,661,699548,145,109574,2355,84808,1574,1112748,2501,1197556,"California",0,0,1678317,1351302,5.05,71.35,66.3,0
"30","Alameda","2021-08-07",2464,2212073,2017,1401562,339,699887,106,109680,1323,85206,1027,1113775,1425,1198981,"California",0,0,1678317,1351302,5.08,71.44,66.36,0
"31","Alameda","2021-08-08",1229,2213302,1005,1402567,169,700056,53,109733,708,85482,485,1114260,761,1199742,"California",0,0,1678317,1351302,5.09,71.48,66.39,0
"32","Alameda","2021-08-09",3105,2216407,2512,1405079,458,700514,134,109867,1635,85901,1349,1115609,1768,1201510,"California",0,0,1678317,1351302,5.12,71.59,66.47,0
"33","Alameda","2021-08-10",2893,2219300,2331,1407410,450,700964,111,109978,1547,86291,1266,1116875,1656,1203166,"California",0,0,1678317,1351302,5.14,71.69,66.55,0
"34","Alameda","2021-08-11",2485,2221785,1879,1409289,488,701452,118,110096,1340,86693,1056,1117931,1458,1204624,"California",0,0,1678317,1351302,5.17,71.78,66.61,0
"35","Alameda","2021-08-12",2901,2224686,2295,1411584,480,701932,126,110222,1543,87111,1249,1119180,1667,1206291,"California",0,0,1678317,1351302,5.19,71.88,66.68,0
"36","Alameda","2021-08-13",4219,2228905,3402,1414986,665,702597,149,110371,2255,87714,1799,1120979,2402,1208693,"California",133,133,1678317,1351302,5.23,72.02,66.79,0.01
"37","Alameda","2021-08-14",2537,2231442,1957,1416943,488,703085,91,110462,1219,87908,1115,1122094,1309,1210002,"California",182,315,1678317,1351302,5.24,72.1,66.86,0.02
"38","Alameda","2021-08-15",1293,2232735,975,1417918,250,703335,67,110529,651,88114,512,1122606,718,1210720,"California",114,429,1678317,1351302,5.25,72.14,66.89,0.03
"39","Alameda","2021-08-16",3354,2236089,2572,1420490,625,703960,152,110681,1575,88427,1411,1124017,1724,1212444,"California",328,757,1678317,1351302,5.27,72.24,66.97,0.06
